Noms de la població
Catalunya. Nascuts entre 2010–2019. 2024
Font: Idescat, a partir del Cens de població anual de l'INE.
Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
Nota: Només es mostren els noms de freqüència igual o superior a 4.
.. Dada confidencial, amb baixa fiabilitat o no disponible
Institut d'Estadística de Catalunya
http://www.idescat.cat/noms/?t=2010-2019
Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
1;H;MARC;9.577;12,36
2;D;MARTINA;7.585;9,79
3;D;JÚLIA/JULIA;7.476;9,65
4;H;ÀLEX/ÁLEX;6.624;8,55
5;D;LAIA;6.478;8,36
6;H;POL;6.315;8,15
7;D;MARIA/MARÍA;6.053;7,81
8;H;ERIC/ÈRIC/ÉRIC;5.940;7,67
9;D;PAULA;5.906;7,62
10;D;LUCÍA;5.768;7,45
11;H;PAU;5.690;7,34
12;H;BIEL;5.667;7,31
13;H;JAN;5.562;7,18
14;H;MARTÍ;5.520;7,13
15;D;CARLA;5.460;7,05
16;H;HUGO;5.399;6,97
17;D;EMMA;5.164;6,67
18;H;ARNAU;5.156;6,66
19;H;NIL;5.022;6,48
20;D;AINA;4.977;6,42
21;D;NOA;4.851;6,26
22;D;SARA;4.342;5,60
23;D;CLÀUDIA/CLAUDIA;4.212;5,44
24;D;ONA;3.913;5,05
25;H;GERARD;3.894;5,03
26;H;ALEIX;3.847;4,97
27;D;ABRIL;3.790;4,89
28;H;DANIEL;3.784;4,88
29;H;LEO;3.771;4,87
30;D;ALBA;3.743;4,83
31;D;SOFÍA/SOFIA;3.718;4,80
32;H;ADAM;3.546;4,58
33;H;DAVID;3.526;4,55
34;D;ARLET;3.304;4,26
35;H;LUCAS;3.273;4,22
36;D;JANA;3.214;4,15
37;D;DANIELA;3.144;4,06
38;D;ARIADNA;3.023;3,90
39;H;ADRIÀ;2.938;3,79
40;H;JORDI;2.855;3,69
41;H;JOEL;2.847;3,67
42;H;ORIOL;2.830;3,65
43;H;MOHAMED;2.720;3,51
44;H;ROGER;2.632;3,40
45;H;BRUNO;2.613;3,37
46;D;BERTA;2.537;3,27
47;D;ANNA;2.510;3,24
48;D;VALÈRIA/VALERIA;2.503;3,23
49;H;IKER;2.480;3,20
